,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,389,5033,3377.5,385.0,False,,267.0,767
1,461,4812,3360.0,367.5,False,,267.0,767
2,521,4813,3377.5,367.5,False,,267.0,767
3,557,5032,3360.0,385.0,False,,267.0,767
4,829,12433,1977.5,980.0,False,,1.0,767
5,861,13094,1995.0,1032.5,False,,0.0,767
6,949,13093,1977.5,1032.5,False,,0.0,767
7,952,13091,1942.5,1032.5,True,16.0,,767
8,961,12214,1995.0,962.5,False,,1.0,767
9,965,12434,1995.0,980.0,False,,1.0,767
10,968,12874,1995.0,1015.0,False,,0.0,767
