,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,54,20250,175.0,1610.0,False,,1301.0,555
1,58,20254,245.0,1610.0,True,8.0,1300.0,555
2,170,20261,367.5,1610.0,False,,1298.0,555
3,174,20257,297.5,1610.0,False,,1299.0,555
4,178,20694,245.0,1645.0,False,,1300.0,555
5,182,20474,245.0,1627.5,False,,1300.0,555
6,186,20467,122.5,1627.5,False,,1302.0,555
7,190,20247,122.5,1610.0,False,,1302.0,555
8,218,20477,297.5,1627.5,False,,1299.0,555
9,226,20481,367.5,1627.5,False,,1298.0,555
10,302,20482,385.0,1627.5,False,,1298.0,555
11,310,20478,315.0,1627.5,False,,1299.0,555
12,338,20470,175.0,1627.5,False,,1301.0,555
