,channel,electrode,x,y,stim,stim_unit,pad_id,stim_unit_offset
0,105,16006,2905.0,1260.0,False,,625.0,0
1,651,18646,2905.0,1470.0,False,,622.0,0
2,659,17766,2905.0,1400.0,False,,623.0,0
3,691,16886,2905.0,1330.0,False,,624.0,0
4,699,17986,2905.0,1417.5,False,,623.0,0
5,703,16226,2905.0,1277.5,False,,625.0,0
6,707,17106,2905.0,1347.5,True,29.0,624.0,0
7,719,16887,2922.5,1330.0,False,,624.0,0
8,735,15346,2905.0,1207.5,False,,626.0,0
9,747,17546,2905.0,1382.5,False,,623.0,0
10,751,18426,2905.0,1452.5,False,,622.0,0
11,895,15566,2905.0,1225.0,False,,626.0,0
